serogroup,Waning,Age dep.,Impact
PCV13,Fast,FALSE,"2.3% (1.6%, 3.2%)"
PCV13,Fast,TRUE,"1.6% (1.1%, 2.1%)"
PCV13,Slow,FALSE,"2.0% (1.3%, 2.9%)"
PCV13,Slow,TRUE,"1.3% (0.8%, 1.9%)"
PCV15,Fast,FALSE,"3.5% (2.5%, 4.8%)"
PCV15,Fast,TRUE,"2.3% (1.6%, 3.2%)"
PCV15,Slow,FALSE,"3.0% (1.9%, 4.3%)"
PCV15,Slow,TRUE,"2.0% (1.3%, 2.9%)"
PCV20,Fast,FALSE,"8.4% (5.9%, 11.5%)"
PCV20,Fast,TRUE,"5.6% (3.9%, 7.6%)"
PCV20,Slow,FALSE,"7.2% (4.5%, 10.3%)"
PCV20,Slow,TRUE,"4.8% (3.0%, 6.9%)"
PPV23,Fast,FALSE,"9.5% (6.7%, 13.0%)"
PPV23,Fast,TRUE,"6.3% (4.5%, 8.7%)"
PPV23,Slow,FALSE,"8.2% (5.2%, 11.7%)"
PPV23,Slow,TRUE,"5.5% (3.4%, 7.8%)"
